Cut Edges,Democratic Districts,Republican Districts,Efficiency Gap
672.0,2.0,6.0,-0.267221425155428
681.0,2.0,6.0,-0.2605600037025038
697.0,2.0,6.0,-0.2654636614677342
703.0,2.0,6.0,-0.2703916940497678
706.0,2.0,6.0,-0.2680526372626155
742.0,2.0,6.0,-0.2680526372626155
788.0,2.0,6.0,-0.26581570787244874
769.0,2.0,6.0,-0.26568828003270545
817.0,2.0,6.0,-0.26568828003270545
816.0,2.0,6.0,-0.258191018342821
874.0,2.0,6.0,-0.258191018342821
921.0,3.0,5.0,-0.12295089554311103
855.0,2.0,6.0,-0.25814751392295704
814.0,2.0,6.0,-0.2609376590919609
820.0,2.0,6.0,-0.26282161645145863
779.0,2.0,6.0,-0.26282161645145863
812.0,2.0,6.0,-0.2615911510158745
806.0,2.0,6.0,-0.2615911510158745
715.0,2.0,6.0,-0.2615911510158745
760.0,2.0,6.0,-0.2615911510158745
794.0,2.0,6.0,-0.2615911510158745
826.0,2.0,6.0,-0.24248839110782
782.0,2.0,6.0,-0.24578269388006974
837.0,2.0,6.0,-0.24578269388006974
831.0,2.0,6.0,-0.25233766834822047
793.0,2.0,6.0,-0.25233766834822047
808.0,2.0,6.0,-0.25233766834822047
849.0,2.0,6.0,-0.25233766834822047
927.0,3.0,5.0,-0.1268875827278197
927.0,3.0,5.0,-0.12706345165918453
893.0,3.0,5.0,-0.12706345165918453
876.0,3.0,5.0,-0.12706345165918453
903.0,3.0,5.0,-0.12946606809521605
893.0,3.0,5.0,-0.13148979497385108
877.0,3.0,5.0,-0.1291340769195168
819.0,3.0,5.0,-0.14760031471282456
891.0,3.0,5.0,-0.14760031471282456
815.0,2.0,6.0,-0.26720815785007945
817.0,2.0,6.0,-0.26720815785007945
808.0,2.0,6.0,-0.26720815785007945
767.0,2.0,6.0,-0.26720815785007945
767.0,2.0,6.0,-0.27399453880686814
752.0,2.0,6.0,-0.27399453880686814
766.0,2.0,6.0,-0.27399453880686814
800.0,2.0,6.0,-0.27399453880686814
808.0,2.0,6.0,-0.27399453880686814
762.0,2.0,6.0,-0.27399453880686814
757.0,2.0,6.0,-0.27399453880686814
682.0,2.0,6.0,-0.27399453880686814
669.0,2.0,6.0,-0.27399453880686814
746.0,2.0,6.0,-0.27496490334922324
760.0,2.0,6.0,-0.27496490334922324
751.0,2.0,6.0,-0.26661791703306026
740.0,2.0,6.0,-0.2681097175298129
741.0,2.0,6.0,-0.2681097175298129
727.0,2.0,6.0,-0.2681097175298129
754.0,2.0,6.0,-0.2681097175298129
729.0,2.0,6.0,-0.2676444362166582
740.0,2.0,6.0,-0.2676444362166582
708.0,2.0,6.0,-0.2676444362166582
674.0,2.0,6.0,-0.2676444362166582
724.0,2.0,6.0,-0.2676444362166582
735.0,2.0,6.0,-0.26559633452122
736.0,2.0,6.0,-0.26513136175005014
744.0,2.0,6.0,-0.26513136175005014
738.0,2.0,6.0,-0.2698517455762793
770.0,2.0,6.0,-0.26652504589562026
764.0,2.0,6.0,-0.26987889727094616
841.0,2.0,6.0,-0.26987889727094616
834.0,2.0,6.0,-0.26829360855278384
815.0,2.0,6.0,-0.27206522577559744
805.0,2.0,6.0,-0.26638681908640716
796.0,2.0,6.0,-0.26638681908640716
728.0,2.0,6.0,-0.26638681908640716
734.0,2.0,6.0,-0.26638681908640716
760.0,2.0,6.0,-0.26638681908640716
778.0,2.0,6.0,-0.26787954520911433
787.0,2.0,6.0,-0.26787954520911433
786.0,2.0,6.0,-0.2681269958809645
758.0,2.0,6.0,-0.2681269958809645
668.0,2.0,6.0,-0.2722845991268262
636.0,2.0,6.0,-0.2722845991268262
642.0,2.0,6.0,-0.2722845991268262
681.0,2.0,6.0,-0.2722845991268262
694.0,2.0,6.0,-0.2653627682386881
655.0,2.0,6.0,-0.2653627682386881
672.0,2.0,6.0,-0.2653627682386881
669.0,2.0,6.0,-0.2676003147128245
668.0,2.0,6.0,-0.2574428040295583
683.0,2.0,6.0,-0.2574428040295583
690.0,2.0,6.0,-0.2574428040295583
756.0,2.0,6.0,-0.2557970410823653
748.0,2.0,6.0,-0.2557970410823653
