Cut Edges,Presidential Democratic Districts,Presidential Republican Districts,Presidential Efficiency Gap,Governor Democratic Districts,Governor Republican Districts,Governor Efficiency Gap
672.0,2.0,6.0,-0.267221425155428,3.0,5.0,-0.1404474158602523
577.0,2.0,6.0,-0.267221425155428,2.0,6.0,-0.2594366143131491
679.0,2.0,6.0,-0.267221425155428,2.0,6.0,-0.2594366143131491
681.0,2.0,6.0,-0.2683568596596782,2.0,6.0,-0.26062546023543437
693.0,2.0,6.0,-0.26577621449838784,2.0,6.0,-0.2580171765677874
587.0,2.0,6.0,-0.26577621449838784,2.0,6.0,-0.2580171765677874
627.0,2.0,6.0,-0.26577621449838784,2.0,6.0,-0.2580171765677874
605.0,2.0,6.0,-0.2676379568349763,2.0,6.0,-0.26000926284631076
635.0,2.0,6.0,-0.27191126332515697,2.0,6.0,-0.26410639329843555
722.0,2.0,6.0,-0.27191126332515697,2.0,6.0,-0.26410639329843555
744.0,2.0,6.0,-0.26804677496490337,2.0,6.0,-0.2614958189835395
773.0,2.0,6.0,-0.26804677496490337,2.0,6.0,-0.26149581898353935
775.0,2.0,6.0,-0.26804677496490337,2.0,6.0,-0.26149581898353946
774.0,2.0,6.0,-0.26804677496490337,2.0,6.0,-0.26149581898353946
765.0,2.0,6.0,-0.26804677496490337,2.0,6.0,-0.26149581898353935
779.0,2.0,6.0,-0.27111337375233335,2.0,6.0,-0.2645293994904367
780.0,2.0,6.0,-0.27111337375233335,2.0,6.0,-0.2645293994904367
786.0,2.0,6.0,-0.2676157418120671,2.0,6.0,-0.26086970873545084
732.0,2.0,6.0,-0.2676157418120671,2.0,6.0,-0.2608697087354508
720.0,2.0,6.0,-0.2676157418120671,2.0,6.0,-0.2608697087354508
676.0,2.0,6.0,-0.2676157418120671,2.0,6.0,-0.2608697087354509
668.0,2.0,6.0,-0.2677086129495071,2.0,6.0,-0.261121372085751
641.0,2.0,6.0,-0.2656756298113266,2.0,6.0,-0.25826760738790827
642.0,2.0,6.0,-0.26019067894663767,2.0,6.0,-0.253008663078506
708.0,3.0,5.0,-0.12536739636846084,2.0,6.0,-0.23391650003176193
758.0,3.0,5.0,-0.12536739636846084,2.0,6.0,-0.23391650003176193
758.0,3.0,5.0,-0.1273945172089292,2.0,6.0,-0.23593303316005687
694.0,3.0,5.0,-0.1273945172089292,2.0,6.0,-0.23593303316005687
742.0,3.0,5.0,-0.1273945172089292,2.0,6.0,-0.23593303316005687
731.0,3.0,5.0,-0.1226506841918514,2.0,6.0,-0.2311845214126634
748.0,3.0,5.0,-0.1226506841918514,2.0,6.0,-0.23118452141266335
753.0,3.0,5.0,-0.11912158096913038,2.0,6.0,-0.23118452141266335
743.0,3.0,5.0,-0.1210508940004011,2.0,6.0,-0.23329243805953315
721.0,3.0,5.0,-0.12528933524629363,2.0,6.0,-0.23754946656884163
741.0,3.0,5.0,-0.13076317859952793,3.0,5.0,-0.12053976911371249
713.0,3.0,5.0,-0.13076317859952793,3.0,5.0,-0.12053976911371246
678.0,3.0,5.0,-0.13076317859952793,3.0,5.0,-0.12053976911371246
665.0,3.0,5.0,-0.13106770953857547,3.0,5.0,-0.12068293456678149
672.0,3.0,5.0,-0.13106770953857547,2.0,6.0,-0.251912206595268
681.0,3.0,5.0,-0.13106770953857547,2.0,6.0,-0.25191220659526803
718.0,2.0,6.0,-0.2549519445858595,2.0,6.0,-0.2486369628035902
705.0,2.0,6.0,-0.2549519445858595,2.0,6.0,-0.24863696280359018
719.0,2.0,6.0,-0.2549519445858595,2.0,6.0,-0.2486369628035902
709.0,2.0,6.0,-0.2549519445858595,2.0,6.0,-0.2486369628035902
720.0,3.0,5.0,-0.13106770953857547,2.0,6.0,-0.2527902880407581
771.0,3.0,5.0,-0.13106770953857547,2.0,6.0,-0.2527902880407581
789.0,3.0,5.0,-0.13106770953857547,2.0,6.0,-0.25279028804075804
816.0,3.0,5.0,-0.13150429644713904,2.0,6.0,-0.2535914898447858
813.0,3.0,5.0,-0.13150429644713904,2.0,6.0,-0.25359148984478574
829.0,3.0,5.0,-0.13150429644713904,2.0,6.0,-0.25359148984478574
798.0,3.0,5.0,-0.13150429644713904,2.0,6.0,-0.25359148984478574
869.0,3.0,5.0,-0.13150429644713904,3.0,5.0,-0.135267336003655
863.0,3.0,5.0,-0.1371512318538745,3.0,5.0,-0.135267336003655
876.0,3.0,5.0,-0.13759769210595332,3.0,5.0,-0.1357735690457071
873.0,3.0,5.0,-0.13977322164113481,3.0,5.0,-0.13783019514041867
